,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
196,GeForce4 MX 460,4,2741,NA,NA
197,GeForce4 MX 4000,4,2735,NA,NA
198,GeForce4 MX Integrated GPU,6,2686,NA,NA
199,GeForce4 Ti 4200,5,2704,NA,NA
200,GeForce4 Ti 4400,7,2678,NA,NA
201,GeForce4 Ti 4600,5,2706,0.10,$53.99*
202,GeForce4 Ti 4800,5,2696,NA,NA
203,GeForce4 Ti 4800 SE,6,2682,NA,NA
204,GeForce9400M,105,2344,NA,NA
205,GeForce 205,126,2286,NA,NA
206,GeForce 210,138,2252,2.56,$54.15*
207,GeForce 240M GT,319,2030,NA,NA
208,GeForce 256,5,2713,0.12,$42.04*
209,GeForce 305M,150,2217,NA,NA
210,GeForce 310,144,2237,1.33,$108.35*
211,GeForce 310M,126,2283,NA,NA
212,GeForce 315,196,2158,5.95,$32.99*
213,GeForce 315M,115,2316,NA,NA
214,GeForce 320M,190,2169,NA,NA
215,GeForce 405,117,2307,4.79,$24.64*
216,GeForce 410M,274,2070,NA,NA
217,GeForce 505,143,2238,1.25,$115.06*
218,GeForce 510,290,2052,4.15,$69.99*
219,GeForce 605,331,2016,2.42,$136.83*
220,GeForce 610M,291,2051,NA,NA
221,GeForce 615,505,1843,NA,NA
222,GeForce 705M,455,1898,NA,NA
223,GeForce 710A,428,1928,NA,NA
224,GeForce 710M,445,1914,NA,NA
225,GeForce 720A,577,1742,NA,NA
226,GeForce 730A,764,1531,NA,NA
227,GeForce 770M,3245,705,18.34,$176.99*
228,GeForce 800A,435,1919,NA,NA
229,GeForce 800M,477,1875,NA,NA
230,GeForce 810A,655,1638,NA,NA
231,GeForce 810M,419,1936,NA,NA
232,GeForce 820A,556,1772,NA,NA
233,GeForce 820M,480,1870,NA,NA
234,GeForce 825M,760,1536,NA,NA
235,GeForce 830A,1173,1265,NA,NA
236,GeForce 830M,1000,1353,NA,NA
237,GeForce 840A,1085,1304,NA,NA
238,GeForce 840M,1099,1296,NA,NA
239,GeForce 845M,1501,1156,NA,NA
240,GeForce 910M,597,1711,NA,NA
241,GeForce 920A,829,1469,NA,NA
242,GeForce 920M,717,1587,NA,NA
243,GeForce 920MX,1060,1318,NA,NA
244,GeForce 930A,1217,1249,NA,NA
245,GeForce 930M,1011,1343,NA,NA
246,GeForce 930MX,1273,1225,NA,NA
247,GeForce 940A,1113,1290,NA,NA
248,GeForce 940M,1131,1283,NA,NA
249,GeForce 940MX,1510,1151,NA,NA
250,GeForce 945A,1852,1017,NA,NA
251,GeForce 945M,2108,929,NA,NA
252,GeForce 999 GTX,83,2404,NA,NA
253,GeForce 6100,27,2601,NA,NA
254,GeForce 6100 nForce 400,25,2612,NA,NA
255,GeForce 6100 nForce 405,26,2603,NA,NA
256,GeForce 6100 nForce 420,25,2611,NA,NA
257,GeForce 6100 nForce 430,23,2624,NA,NA
258,GeForce 6150,21,2627,0.07,$329.00*
259,GeForce 6150 LE,33,2578,NA,NA
260,GeForce 6150SE,24,2615,NA,NA
261,GeForce 6150SE nForce 430,30,2592,NA,NA
262,GeForce 6200,37,2555,0.71,$53.17*
263,GeForce 6200 A-LE,32,2587,NA,NA
264,GeForce 6200 LE,32,2583,0.80,$41.24*
265,GeForce 6200 TurboCache,51,2493,NA,NA
266,GeForce 6200A,3,2758,0.07,$54.99*
267,GeForce 6200SE TurboCache,37,2557,NA,NA
268,GeForce 6500,38,2548,NA,NA
269,GeForce 6600,85,2396,0.33,$264.00*
270,GeForce 6600 GT,142,2240,2.20,$64.95*
271,GeForce 6600 LE,51,2496,NA,NA
272,GeForce 6610 XL,88,2393,NA,NA
273,GeForce 6700 XL,95,2375,NA,NA
274,GeForce 6800,112,2326,0.20,$559.29*
275,GeForce 6800 GS,191,2167,NA,NA
276,GeForce 6800 GS/XT,102,2355,NA,NA
277,GeForce 6800 GT,142,2242,NA,NA
278,GeForce 6800 LE,109,2335,NA,NA
279,GeForce 6800 Ultra,138,2251,NA,NA
280,GeForce 6800 XE,58,2475,NA,NA
281,GeForce 6800 XT,120,2299,NA,NA
282,GeForce 7000M,13,2648,NA,NA
283,GeForce 7000M / nForce 610M,12,2649,NA,NA
